Year,Quarter,Area of Residence,Reason for Journey,Visitor Stay Avg,Visitor Spending,Overnight Tourist Trips
2012,1,France,Business,6.6,9.0,9.0
2012,2,France,Business,5.8,6.0,6.0
2012,3,France,Business,9.3,6.0,7.0
2012,4,France,Business,9.1,5.0,5.0
2013,1,France,Business,6.0,7.0,8.0
2013,2,France,Business,5.1,5.0,4.0
2013,3,France,Business,12.0,6.0,5.0
2013,4,France,Business,6.7,8.0,5.0
2014,1,France,Business,7.0,6.0,6.0
2014,2,France,Business,5.3,9.0,5.0
2014,3,France,Business,12.3,6.0,4.0
2014,4,France,Business,7.3,6.0,5.0
2015,1,France,Business,5.2,8.0,5.0
2015,2,France,Business,7.9,4.0,3.0
2015,3,France,Business,10.0,8.0,5.0
2015,4,France,Business,7.2,6.0,4.0
2016,1,France,Business,6.8,8.0,6.0
2016,2,France,Business,4.6,6.0,4.0
2016,3,France,Business,14.3,9.0,5.0
2016,4,France,Business,6.6,8.0,5.0
2017,1,France,Business,8.9,9.0,5.0
2017,2,France,Business,4.7,10.0,5.0
2017,3,France,Business,16.2,9.0,4.0
2017,4,France,Business,16.6,10.0,5.0
2018,1,France,Business,6.1,9.0,5.0
2018,2,France,Business,8.3,11.0,4.0
2018,3,France,Business,12.6,8.0,3.0
2018,4,France,Business,6.2,6.0,5.0
2019,1,France,Business,7.4,8.0,5.0
2019,2,France,Business,6.9,9.0,6.0
2019,3,France,Business,11.0,5.0,4.0
2019,4,France,Business,10.0,10.0,5.0
2012,1,France,Holiday/leisure/recreation,5.4,10.0,5.0
2012,2,France,Holiday/leisure/recreation,6.7,46.0,10.0
2012,3,France,Holiday/leisure/recreation,9.8,49.0,8.0
2012,4,France,Holiday/leisure/recreation,5.3,15.0,5.0
2013,1,France,Holiday/leisure/recreation,3.9,17.0,9.0
2013,2,France,Holiday/leisure/recreation,6.2,36.0,9.0
2013,3,France,Holiday/leisure/recreation,9.2,54.0,7.0
2013,4,France,Holiday/leisure/recreation,5.3,12.0,5.0
2014,1,France,Holiday/leisure/recreation,5.3,10.0,6.0
2014,2,France,Holiday/leisure/recreation,6.8,37.0,9.0
2014,3,France,Holiday/leisure/recreation,9.2,55.0,8.0
2014,4,France,Holiday/leisure/recreation,4.4,15.0,6.0
2015,1,France,Holiday/leisure/recreation,4.4,13.0,8.0
2015,2,France,Holiday/leisure/recreation,6.6,55.0,9.0
2015,3,France,Holiday/leisure/recreation,8.8,64.0,7.0
2015,4,France,Holiday/leisure/recreation,5.5,17.0,6.0
2016,1,France,Holiday/leisure/recreation,5.6,17.0,6.0
2016,2,France,Holiday/leisure/recreation,8.1,62.0,9.0
2016,3,France,Holiday/leisure/recreation,9.2,78.0,7.0
2016,4,France,Holiday/leisure/recreation,5.4,18.0,5.0
2017,1,France,Holiday/leisure/recreation,4.8,24.0,8.0
2017,2,France,Holiday/leisure/recreation,7.3,57.0,8.0
2017,3,France,Holiday/leisure/recreation,8.8,74.0,7.0
2017,4,France,Holiday/leisure/recreation,6.7,33.0,6.0
2018,1,France,Holiday/leisure/recreation,6.0,24.0,6.0
2018,2,France,Holiday/leisure/recreation,6.7,64.0,8.0
2018,3,France,Holiday/leisure/recreation,8.4,74.0,7.0
2018,4,France,Holiday/leisure/recreation,5.2,22.0,5.0
2019,1,France,Holiday/leisure/recreation,5.0,23.0,8.0
2019,2,France,Holiday/leisure/recreation,6.3,50.0,7.0
2019,3,France,Holiday/leisure/recreation,8.9,76.0,6.0
2019,4,France,Holiday/leisure/recreation,5.3,21.0,6.0
2012,1,France,Other reason for journey,18.3,4.0,10.0
2012,2,France,Other reason for journey,24.5,5.0,9.0
2012,3,France,Other reason for journey,20.7,6.0,6.0
2012,4,France,Other reason for journey,20.8,6.0,12.0
2013,1,France,Other reason for journey,31.0,8.0,13.0
2013,2,France,Other reason for journey,22.9,14.0,15.0
2013,3,France,Other reason for journey,10.1,9.0,9.0
2013,4,France,Other reason for journey,28.4,6.0,10.0
2014,1,France,Other reason for journey,21.0,3.0,9.0
2014,2,France,Other reason for journey,24.3,11.0,10.0
2014,3,France,Other reason for journey,11.9,11.0,8.0
2014,4,France,Other reason for journey,23.6,6.0,8.0
2015,1,France,Other reason for journey,31.1,7.0,12.0
2015,2,France,Other reason for journey,22.7,13.0,12.0
2015,3,France,Other reason for journey,14.8,8.0,10.0
2015,4,France,Other reason for journey,17.0,9.0,11.0
2016,1,France,Other reason for journey,20.8,11.0,10.0
2016,2,France,Other reason for journey,33.8,14.0,12.0
2016,3,France,Other reason for journey,16.1,8.0,6.0
2016,4,France,Other reason for journey,16.5,6.0,7.0
2017,1,France,Other reason for journey,23.9,12.0,13.0
2017,2,France,Other reason for journey,23.3,7.0,6.0
2017,3,France,Other reason for journey,11.6,9.0,6.0
2017,4,France,Other reason for journey,32.8,12.0,10.0
2018,1,France,Other reason for journey,23.2,9.0,11.0
2018,2,France,Other reason for journey,26.1,17.0,8.0
2018,3,France,Other reason for journey,15.6,8.0,5.0
2018,4,France,Other reason for journey,21.4,9.0,11.0
2019,1,France,Other reason for journey,18.8,6.0,11.0
2019,2,France,Other reason for journey,30.5,14.0,12.0
2019,3,France,Other reason for journey,11.6,8.0,7.0
2019,4,France,Other reason for journey,22.2,9.0,10.0
2012,1,France,Visit to friends/relatives,7.4,5.0,4.0
2012,2,France,Visit to friends/relatives,7.1,6.0,4.0
2012,3,France,Visit to friends/relatives,8.4,5.0,3.0
2012,4,France,Visit to friends/relatives,6.8,5.0,3.0
2013,1,France,Visit to friends/relatives,6.9,5.0,3.0
2013,2,France,Visit to friends/relatives,6.3,5.0,5.0
2013,3,France,Visit to friends/relatives,10.4,4.0,2.0
2013,4,France,Visit to friends/relatives,6.1,6.0,4.0
2014,1,France,Visit to friends/relatives,7.3,5.0,4.0
2014,2,France,Visit to friends/relatives,9.2,7.0,4.0
2014,3,France,Visit to friends/relatives,7.2,7.0,3.0
2014,4,France,Visit to friends/relatives,6.8,7.0,4.0
2015,1,France,Visit to friends/relatives,7.0,5.0,4.0
2015,2,France,Visit to friends/relatives,6.0,6.0,4.0
2015,3,France,Visit to friends/relatives,8.8,5.0,2.0
2015,4,France,Visit to friends/relatives,5.7,8.0,5.0
2016,1,France,Visit to friends/relatives,6.0,6.0,4.0
2016,2,France,Visit to friends/relatives,7.1,9.0,4.0
2016,3,France,Visit to friends/relatives,9.8,7.0,3.0
2016,4,France,Visit to friends/relatives,6.6,6.0,4.0
2017,1,France,Visit to friends/relatives,7.8,7.0,4.0
2017,2,France,Visit to friends/relatives,5.6,9.0,4.0
2017,3,France,Visit to friends/relatives,6.6,7.0,3.0
2017,4,France,Visit to friends/relatives,6.4,8.0,4.0
2018,1,France,Visit to friends/relatives,8.2,7.0,4.0
2018,2,France,Visit to friends/relatives,6.2,12.0,4.0
2018,3,France,Visit to friends/relatives,9.2,6.0,3.0
2018,4,France,Visit to friends/relatives,6.9,6.0,4.0
2019,1,France,Visit to friends/relatives,8.1,6.0,3.0
2019,2,France,Visit to friends/relatives,7.2,7.0,4.0
2019,3,France,Visit to friends/relatives,10.0,9.0,3.0
2019,4,France,Visit to friends/relatives,5.0,7.0,4.0
2012,1,Germany,Business,5.8,6.0,7.0
2012,2,Germany,Business,4.9,5.0,5.0
2012,3,Germany,Business,4.6,4.0,5.0
2012,4,Germany,Business,6.4,7.0,8.0
2013,1,Germany,Business,7.7,6.0,6.0
2013,2,Germany,Business,5.7,9.0,5.0
2013,3,Germany,Business,6.9,6.0,6.0
2013,4,Germany,Business,8.8,14.0,8.0
2014,1,Germany,Business,7.9,7.0,6.0
2014,2,Germany,Business,12.1,14.0,5.0
2014,3,Germany,Business,7.6,6.0,5.0
2014,4,Germany,Business,6.8,10.0,6.0
2015,1,Germany,Business,6.0,9.0,6.0
2015,2,Germany,Business,10.1,14.0,7.0
2015,3,Germany,Business,7.0,7.0,5.0
2015,4,Germany,Business,4.9,9.0,5.0
2016,1,Germany,Business,6.2,8.0,7.0
2016,2,Germany,Business,5.9,15.0,6.0
2016,3,Germany,Business,5.0,9.0,6.0
2016,4,Germany,Business,9.0,10.0,7.0
2017,1,Germany,Business,5.6,8.0,6.0
2017,2,Germany,Business,3.0,12.0,6.0
2017,3,Germany,Business,4.9,10.0,6.0
2017,4,Germany,Business,6.6,13.0,7.0
2018,1,Germany,Business,7.0,11.0,7.0
2018,2,Germany,Business,7.4,9.0,5.0
2018,3,Germany,Business,6.0,14.0,6.0
2018,4,Germany,Business,6.4,21.0,9.0
2019,1,Germany,Business,5.0,12.0,8.0
2019,2,Germany,Business,8.7,13.0,6.0
2019,3,Germany,Business,7.5,18.0,6.0
2019,4,Germany,Business,7.4,12.0,5.0
2012,1,Germany,Holiday/leisure/recreation,6.5,10.0,5.0
2012,2,Germany,Holiday/leisure/recreation,7.6,54.0,11.0
2012,3,Germany,Holiday/leisure/recreation,9.0,69.0,12.0
2012,4,Germany,Holiday/leisure/recreation,6.1,25.0,9.0
2013,1,Germany,Holiday/leisure/recreation,6.4,21.0,8.0
2013,2,Germany,Holiday/leisure/recreation,8.3,69.0,11.0
2013,3,Germany,Holiday/leisure/recreation,10.0,82.0,11.0
2013,4,Germany,Holiday/leisure/recreation,6.1,24.0,9.0
2014,1,Germany,Holiday/leisure/recreation,5.0,15.0,8.0
2014,2,Germany,Holiday/leisure/recreation,8.1,85.0,12.0
2014,3,Germany,Holiday/leisure/recreation,9.6,106.0,12.0
2014,4,Germany,Holiday/leisure/recreation,6.3,26.0,9.0
2015,1,Germany,Holiday/leisure/recreation,5.3,19.0,8.0
2015,2,Germany,Holiday/leisure/recreation,9.2,118.0,12.0
2015,3,Germany,Holiday/leisure/recreation,9.1,125.0,12.0
2015,4,Germany,Holiday/leisure/recreation,5.7,32.0,10.0
2016,1,Germany,Holiday/leisure/recreation,5.3,21.0,7.0
2016,2,Germany,Holiday/leisure/recreation,8.1,94.0,11.0
2016,3,Germany,Holiday/leisure/recreation,9.9,135.0,11.0
2016,4,Germany,Holiday/leisure/recreation,6.2,35.0,9.0
2017,1,Germany,Holiday/leisure/recreation,6.5,20.0,7.0
2017,2,Germany,Holiday/leisure/recreation,7.9,105.0,11.0
2017,3,Germany,Holiday/leisure/recreation,9.4,123.0,10.0
2017,4,Germany,Holiday/leisure/recreation,6.1,41.0,8.0
2018,1,Germany,Holiday/leisure/recreation,5.7,29.0,9.0
2018,2,Germany,Holiday/leisure/recreation,7.5,121.0,11.0
2018,3,Germany,Holiday/leisure/recreation,9.1,148.0,11.0
2018,4,Germany,Holiday/leisure/recreation,6.6,46.0,9.0
2019,1,Germany,Holiday/leisure/recreation,5.1,27.0,8.0
2019,2,Germany,Holiday/leisure/recreation,7.1,116.0,11.0
2019,3,Germany,Holiday/leisure/recreation,8.8,131.0,10.0
2019,4,Germany,Holiday/leisure/recreation,5.6,46.0,9.0
2012,1,Germany,Other reason for journey,35.8,4.0,7.0
2012,2,Germany,Other reason for journey,18.0,9.0,9.0
2012,3,Germany,Other reason for journey,21.8,5.0,3.0
2012,4,Germany,Other reason for journey,24.7,12.0,13.0
2013,1,Germany,Other reason for journey,48.1,3.0,4.0
2013,2,Germany,Other reason for journey,20.5,11.0,8.0
2013,3,Germany,Other reason for journey,21.8,7.0,6.0
2013,4,Germany,Other reason for journey,29.2,7.0,13.0
2014,1,Germany,Other reason for journey,39.0,6.0,13.0
2014,2,Germany,Other reason for journey,19.9,15.0,13.0
2014,3,Germany,Other reason for journey,19.5,5.0,7.0
2014,4,Germany,Other reason for journey,25.4,7.0,11.0
2015,1,Germany,Other reason for journey,47.3,8.0,10.0
2015,2,Germany,Other reason for journey,28.1,8.0,7.0
2015,3,Germany,Other reason for journey,13.2,6.0,5.0
2015,4,Germany,Other reason for journey,33.3,17.0,9.0
2016,1,Germany,Other reason for journey,28.4,7.0,9.0
2016,2,Germany,Other reason for journey,22.4,6.0,6.0
2016,3,Germany,Other reason for journey,11.3,9.0,7.0
2016,4,Germany,Other reason for journey,20.0,6.0,6.0
2017,1,Germany,Other reason for journey,23.2,5.0,6.0
2017,2,Germany,Other reason for journey,12.4,10.0,9.0
2017,3,Germany,Other reason for journey,8.5,6.0,8.0
2017,4,Germany,Other reason for journey,26.5,17.0,12.0
2018,1,Germany,Other reason for journey,17.3,7.0,8.0
2018,2,Germany,Other reason for journey,10.1,11.0,8.0
2018,3,Germany,Other reason for journey,4.3,5.0,5.0
2018,4,Germany,Other reason for journey,10.5,11.0,12.0
2019,1,Germany,Other reason for journey,14.0,9.0,8.0
2019,2,Germany,Other reason for journey,13.2,8.0,8.0
2019,3,Germany,Other reason for journey,3.6,8.0,13.0
2019,4,Germany,Other reason for journey,13.5,14.0,11.0
2012,1,Germany,Visit to friends/relatives,7.8,7.0,6.0
2012,2,Germany,Visit to friends/relatives,7.1,4.0,3.0
2012,3,Germany,Visit to friends/relatives,8.9,4.0,3.0
2012,4,Germany,Visit to friends/relatives,4.7,3.0,3.0
2013,1,Germany,Visit to friends/relatives,8.7,8.0,5.0
2013,2,Germany,Visit to friends/relatives,8.2,5.0,3.0
2013,3,Germany,Visit to friends/relatives,7.8,6.0,3.0
2013,4,Germany,Visit to friends/relatives,6.5,8.0,4.0
2014,1,Germany,Visit to friends/relatives,7.8,8.0,5.0
2014,2,Germany,Visit to friends/relatives,7.9,9.0,4.0
2014,3,Germany,Visit to friends/relatives,9.4,7.0,3.0
2014,4,Germany,Visit to friends/relatives,5.9,8.0,5.0
2015,1,Germany,Visit to friends/relatives,7.2,5.0,4.0
2015,2,Germany,Visit to friends/relatives,10.6,7.0,4.0
2015,3,Germany,Visit to friends/relatives,7.9,6.0,3.0
2015,4,Germany,Visit to friends/relatives,6.7,9.0,5.0
2016,1,Germany,Visit to friends/relatives,7.1,8.0,5.0
2016,2,Germany,Visit to friends/relatives,6.1,7.0,3.0
2016,3,Germany,Visit to friends/relatives,7.5,6.0,2.0
2016,4,Germany,Visit to friends/relatives,6.7,11.0,4.0
2017,1,Germany,Visit to friends/relatives,9.2,7.0,4.0
2017,2,Germany,Visit to friends/relatives,6.3,7.0,3.0
2017,3,Germany,Visit to friends/relatives,7.9,8.0,3.0
2017,4,Germany,Visit to friends/relatives,6.4,8.0,4.0
2018,1,Germany,Visit to friends/relatives,6.6,8.0,4.0
2018,2,Germany,Visit to friends/relatives,6.7,12.0,6.0
2018,3,Germany,Visit to friends/relatives,6.7,8.0,3.0
2018,4,Germany,Visit to friends/relatives,6.4,7.0,4.0
2019,1,Germany,Visit to friends/relatives,8.3,5.0,4.0
2019,2,Germany,Visit to friends/relatives,6.4,13.0,5.0
2019,3,Germany,Visit to friends/relatives,6.9,7.0,3.0
2019,4,Germany,Visit to friends/relatives,5.2,9.0,5.0
2012,1,Great Britain,Business,2.7,57.0,52.0
2012,2,Great Britain,Business,2.7,58.0,53.0
2012,3,Great Britain,Business,2.8,50.0,49.0
2012,4,Great Britain,Business,3.3,52.0,45.0
2013,1,Great Britain,Business,2.9,58.0,51.0
2013,2,Great Britain,Business,2.5,47.0,49.0
2013,3,Great Britain,Business,2.8,45.0,53.0
2013,4,Great Britain,Business,3.3,54.0,47.0
2014,1,Great Britain,Business,2.6,47.0,51.0
2014,2,Great Britain,Business,2.8,62.0,46.0
2014,3,Great Britain,Business,3.0,44.0,45.0
2014,4,Great Britain,Business,3.0,53.0,49.0
2015,1,Great Britain,Business,2.4,51.0,47.0
2015,2,Great Britain,Business,3.0,52.0,45.0
2015,3,Great Britain,Business,2.7,59.0,51.0
2015,4,Great Britain,Business,2.6,64.0,49.0
2016,1,Great Britain,Business,2.4,48.0,47.0
2016,2,Great Britain,Business,2.8,66.0,47.0
2016,3,Great Britain,Business,2.7,57.0,46.0
2016,4,Great Britain,Business,3.3,63.0,47.0
2017,1,Great Britain,Business,2.8,47.0,47.0
2017,2,Great Britain,Business,3.9,60.0,39.0
2017,3,Great Britain,Business,4.2,62.0,47.0
2017,4,Great Britain,Business,3.4,55.0,42.0
2018,1,Great Britain,Business,3.0,56.0,46.0
2018,2,Great Britain,Business,2.4,54.0,43.0
2018,3,Great Britain,Business,3.2,61.0,45.0
2018,4,Great Britain,Business,2.8,56.0,43.0
2019,1,Great Britain,Business,2.6,57.0,48.0
2019,2,Great Britain,Business,3.1,55.0,41.0
2019,3,Great Britain,Business,3.3,55.0,40.0
2019,4,Great Britain,Business,2.9,53.0,44.0
2012,1,Great Britain,Holiday/leisure/recreation,3.9,52.0,42.0
2012,2,Great Britain,Holiday/leisure/recreation,4.4,82.0,29.0
2012,3,Great Britain,Holiday/leisure/recreation,5.8,101.0,27.0
2012,4,Great Britain,Holiday/leisure/recreation,4.5,60.0,35.0
2013,1,Great Britain,Holiday/leisure/recreation,4.0,51.0,34.0
2013,2,Great Britain,Holiday/leisure/recreation,4.9,83.0,29.0
2013,3,Great Britain,Holiday/leisure/recreation,6.2,120.0,27.0
2013,4,Great Britain,Holiday/leisure/recreation,3.9,58.0,34.0
2014,1,Great Britain,Holiday/leisure/recreation,3.7,60.0,40.0
2014,2,Great Britain,Holiday/leisure/recreation,4.4,81.0,28.0
2014,3,Great Britain,Holiday/leisure/recreation,5.8,117.0,25.0
2014,4,Great Britain,Holiday/leisure/recreation,3.7,80.0,34.0
2015,1,Great Britain,Holiday/leisure/recreation,3.8,61.0,39.0
2015,2,Great Britain,Holiday/leisure/recreation,4.4,111.0,27.0
2015,3,Great Britain,Holiday/leisure/recreation,5.7,141.0,26.0
2015,4,Great Britain,Holiday/leisure/recreation,3.6,90.0,36.0
2016,1,Great Britain,Holiday/leisure/recreation,3.5,94.0,44.0
2016,2,Great Britain,Holiday/leisure/recreation,4.4,114.0,29.0
2016,3,Great Britain,Holiday/leisure/recreation,5.5,160.0,26.0
2016,4,Great Britain,Holiday/leisure/recreation,3.6,87.0,33.0
2017,1,Great Britain,Holiday/leisure/recreation,3.4,74.0,38.0
2017,2,Great Britain,Holiday/leisure/recreation,4.4,118.0,24.0
2017,3,Great Britain,Holiday/leisure/recreation,5.6,129.0,23.0
2017,4,Great Britain,Holiday/leisure/recreation,3.7,89.0,31.0
2018,1,Great Britain,Holiday/leisure/recreation,3.5,83.0,35.0
2018,2,Great Britain,Holiday/leisure/recreation,4.1,119.0,24.0
2018,3,Great Britain,Holiday/leisure/recreation,5.3,130.0,21.0
2018,4,Great Britain,Holiday/leisure/recreation,3.4,89.0,28.0
2019,1,Great Britain,Holiday/leisure/recreation,3.3,77.0,33.0
2019,2,Great Britain,Holiday/leisure/recreation,4.3,115.0,23.0
2019,3,Great Britain,Holiday/leisure/recreation,5.6,141.0,22.0
2019,4,Great Britain,Holiday/leisure/recreation,3.6,90.0,30.0
2012,1,Great Britain,Other reason for journey,5.0,6.0,12.0
2012,2,Great Britain,Other reason for journey,5.4,8.0,9.0
2012,3,Great Britain,Other reason for journey,6.6,10.0,7.0
2012,4,Great Britain,Other reason for journey,3.5,11.0,19.0
2013,1,Great Britain,Other reason for journey,5.8,10.0,15.0
2013,2,Great Britain,Other reason for journey,3.0,4.0,6.0
2013,3,Great Britain,Other reason for journey,2.5,6.0,14.0
2013,4,Great Britain,Other reason for journey,2.7,5.0,12.0
2014,1,Great Britain,Other reason for journey,4.7,4.0,17.0
2014,2,Great Britain,Other reason for journey,2.5,4.0,12.0
2014,3,Great Britain,Other reason for journey,4.1,9.0,11.0
2014,4,Great Britain,Other reason for journey,2.6,7.0,21.0
2015,1,Great Britain,Other reason for journey,3.4,5.0,18.0
