Year,Quarter,Area of Residence,Reason for Journey,Visitor Stay Avg,Visitor Spending,Overnight Tourist Trips
2019,3,Other Europe (14),Visit to friends/relatives,8.4,40.0,15.0
2019,4,Other Europe (14),Visit to friends/relatives,7.6,44.0,21.0
2012,1,Other countries (24),Business,6.8,7.0,4.0
2012,2,Other countries (24),Business,9.3,12.0,7.0
2012,3,Other countries (24),Business,8.4,11.0,7.0
2012,4,Other countries (24),Business,7.8,12.0,6.0
2013,1,Other countries (24),Business,9.3,8.0,4.0
2013,2,Other countries (24),Business,8.7,14.0,5.0
2013,3,Other countries (24),Business,10.0,15.0,6.0
2013,4,Other countries (24),Business,9.9,20.0,6.0
2014,1,Other countries (24),Business,9.8,12.0,5.0
2014,2,Other countries (24),Business,8.7,19.0,6.0
2014,3,Other countries (24),Business,10.1,15.0,6.0
2014,4,Other countries (24),Business,9.3,15.0,6.0
2015,1,Other countries (24),Business,12.3,13.0,4.0
2015,2,Other countries (24),Business,10.3,22.0,6.0
2015,3,Other countries (24),Business,12.1,21.0,6.0
2015,4,Other countries (24),Business,11.6,25.0,7.0
2016,1,Other countries (24),Business,11.4,19.0,6.0
2016,2,Other countries (24),Business,11.7,21.0,5.0
2016,3,Other countries (24),Business,11.9,28.0,7.0
2016,4,Other countries (24),Business,12.9,31.0,6.0
2017,1,Other countries (24),Business,14.2,18.0,5.0
2017,2,Other countries (24),Business,12.3,24.0,7.0
2017,3,Other countries (24),Business,13.5,23.0,6.0
2017,4,Other countries (24),Business,13.9,29.0,7.0
2018,1,Other countries (24),Business,15.9,21.0,6.0
2018,2,Other countries (24),Business,8.9,23.0,7.0
2018,3,Other countries (24),Business,10.4,27.0,8.0
2018,4,Other countries (24),Business,10.3,20.0,6.0
2019,1,Other countries (24),Business,9.9,16.0,5.0
2019,2,Other countries (24),Business,9.5,28.0,7.0
2019,3,Other countries (24),Business,11.5,28.0,8.0
2019,4,Other countries (24),Business,11.5,23.0,8.0
2012,1,Other countries (24),Holiday/leisure/recreation,8.7,16.0,6.0
2012,2,Other countries (24),Holiday/leisure/recreation,8.6,38.0,6.0
2012,3,Other countries (24),Holiday/leisure/recreation,8.9,56.0,6.0
2012,4,Other countries (24),Holiday/leisure/recreation,8.9,31.0,8.0
2013,1,Other countries (24),Holiday/leisure/recreation,9.1,19.0,6.0
2013,2,Other countries (24),Holiday/leisure/recreation,7.7,44.0,6.0
2013,3,Other countries (24),Holiday/leisure/recreation,8.6,67.0,7.0
2013,4,Other countries (24),Holiday/leisure/recreation,7.3,29.0,7.0
2014,1,Other countries (24),Holiday/leisure/recreation,12.4,20.0,6.0
2014,2,Other countries (24),Holiday/leisure/recreation,8.1,42.0,6.0
2014,3,Other countries (24),Holiday/leisure/recreation,9.2,68.0,6.0
2014,4,Other countries (24),Holiday/leisure/recreation,8.7,32.0,6.0
2015,1,Other countries (24),Holiday/leisure/recreation,8.6,21.0,6.0
2015,2,Other countries (24),Holiday/leisure/recreation,8.4,51.0,5.0
2015,3,Other countries (24),Holiday/leisure/recreation,9.8,75.0,6.0
2015,4,Other countries (24),Holiday/leisure/recreation,8.3,37.0,6.0
2016,1,Other countries (24),Holiday/leisure/recreation,11.4,21.0,4.0
2016,2,Other countries (24),Holiday/leisure/recreation,9.4,53.0,5.0
2016,3,Other countries (24),Holiday/leisure/recreation,9.9,79.0,6.0
2016,4,Other countries (24),Holiday/leisure/recreation,8.7,41.0,6.0
2017,1,Other countries (24),Holiday/leisure/recreation,9.2,31.0,6.0
2017,2,Other countries (24),Holiday/leisure/recreation,8.1,64.0,6.0
2017,3,Other countries (24),Holiday/leisure/recreation,10.0,86.0,6.0
2017,4,Other countries (24),Holiday/leisure/recreation,9.8,38.0,6.0
2018,1,Other countries (24),Holiday/leisure/recreation,9.2,29.0,5.0
2018,2,Other countries (24),Holiday/leisure/recreation,7.7,73.0,6.0
2018,3,Other countries (24),Holiday/leisure/recreation,10.0,98.0,6.0
2018,4,Other countries (24),Holiday/leisure/recreation,8.2,47.0,6.0
2019,1,Other countries (24),Holiday/leisure/recreation,10.4,28.0,5.0
2019,2,Other countries (24),Holiday/leisure/recreation,7.4,77.0,6.0
2019,3,Other countries (24),Holiday/leisure/recreation,9.8,103.0,7.0
2019,4,Other countries (24),Holiday/leisure/recreation,8.1,43.0,6.0
2012,1,Other countries (24),Other reason for journey,44.3,5.0,6.0
2012,2,Other countries (24),Other reason for journey,38.0,7.0,5.0
2012,3,Other countries (24),Other reason for journey,36.4,6.0,3.0
2012,4,Other countries (24),Other reason for journey,27.0,5.0,4.0
2013,1,Other countries (24),Other reason for journey,35.5,5.0,10.0
2013,2,Other countries (24),Other reason for journey,28.5,9.0,4.0
2013,3,Other countries (24),Other reason for journey,29.7,10.0,7.0
2013,4,Other countries (24),Other reason for journey,32.3,11.0,11.0
2014,1,Other countries (24),Other reason for journey,26.8,11.0,10.0
2014,2,Other countries (24),Other reason for journey,47.8,22.0,9.0
2014,3,Other countries (24),Other reason for journey,18.4,11.0,8.0
2014,4,Other countries (24),Other reason for journey,26.1,10.0,10.0
2015,1,Other countries (24),Other reason for journey,23.9,8.0,9.0
2015,2,Other countries (24),Other reason for journey,30.0,14.0,11.0
2015,3,Other countries (24),Other reason for journey,21.0,18.0,7.0
2015,4,Other countries (24),Other reason for journey,39.0,16.0,11.0
2016,1,Other countries (24),Other reason for journey,33.8,13.0,11.0
2016,2,Other countries (24),Other reason for journey,32.9,21.0,7.0
2016,3,Other countries (24),Other reason for journey,24.1,29.0,7.0
2016,4,Other countries (24),Other reason for journey,32.8,13.0,11.0
2017,1,Other countries (24),Other reason for journey,33.1,14.0,12.0
2017,2,Other countries (24),Other reason for journey,19.8,15.0,6.0
2017,3,Other countries (24),Other reason for journey,20.9,41.0,9.0
2017,4,Other countries (24),Other reason for journey,49.4,17.0,9.0
2018,1,Other countries (24),Other reason for journey,36.5,27.0,14.0
2018,2,Other countries (24),Other reason for journey,29.5,18.0,6.0
2018,3,Other countries (24),Other reason for journey,22.2,17.0,9.0
2018,4,Other countries (24),Other reason for journey,24.5,15.0,10.0
2019,1,Other countries (24),Other reason for journey,29.4,13.0,8.0
2019,2,Other countries (24),Other reason for journey,26.6,17.0,6.0
2019,3,Other countries (24),Other reason for journey,16.6,11.0,9.0
2019,4,Other countries (24),Other reason for journey,33.2,15.0,12.0
2012,1,Other countries (24),Visit to friends/relatives,19.9,19.0,6.0
2012,2,Other countries (24),Visit to friends/relatives,15.5,22.0,6.0
2012,3,Other countries (24),Visit to friends/relatives,17.1,24.0,6.0
2012,4,Other countries (24),Visit to friends/relatives,13.3,16.0,5.0
2013,1,Other countries (24),Visit to friends/relatives,18.3,18.0,6.0
2013,2,Other countries (24),Visit to friends/relatives,15.1,24.0,6.0
2013,3,Other countries (24),Visit to friends/relatives,18.0,37.0,7.0
2013,4,Other countries (24),Visit to friends/relatives,14.8,29.0,6.0
2014,1,Other countries (24),Visit to friends/relatives,17.5,31.0,7.0
2014,2,Other countries (24),Visit to friends/relatives,14.4,33.0,6.0
2014,3,Other countries (24),Visit to friends/relatives,18.5,51.0,8.0
2014,4,Other countries (24),Visit to friends/relatives,15.1,30.0,6.0
2015,1,Other countries (24),Visit to friends/relatives,17.8,28.0,7.0
2015,2,Other countries (24),Visit to friends/relatives,13.0,37.0,7.0
2015,3,Other countries (24),Visit to friends/relatives,20.1,57.0,8.0
2015,4,Other countries (24),Visit to friends/relatives,14.7,38.0,7.0
2016,1,Other countries (24),Visit to friends/relatives,17.4,39.0,7.0
2016,2,Other countries (24),Visit to friends/relatives,14.8,37.0,7.0
2016,3,Other countries (24),Visit to friends/relatives,17.6,51.0,7.0
2016,4,Other countries (24),Visit to friends/relatives,13.7,28.0,6.0
2017,1,Other countries (24),Visit to friends/relatives,17.4,37.0,8.0
2017,2,Other countries (24),Visit to friends/relatives,14.5,41.0,8.0
2017,3,Other countries (24),Visit to friends/relatives,17.3,62.0,9.0
2017,4,Other countries (24),Visit to friends/relatives,17.0,38.0,6.0
2018,1,Other countries (24),Visit to friends/relatives,17.6,33.0,7.0
2018,2,Other countries (24),Visit to friends/relatives,14.2,40.0,6.0
2018,3,Other countries (24),Visit to friends/relatives,17.9,64.0,10.0
2018,4,Other countries (24),Visit to friends/relatives,15.4,35.0,7.0
2019,1,Other countries (24),Visit to friends/relatives,17.5,43.0,9.0
2019,2,Other countries (24),Visit to friends/relatives,14.0,39.0,7.0
2019,3,Other countries (24),Visit to friends/relatives,16.6,61.0,9.0
2019,4,Other countries (24),Visit to friends/relatives,14.2,39.0,7.0
2012,1,United States and Canada,Business,6.9,16.0,7.0
2012,2,United States and Canada,Business,5.8,25.0,10.0
2012,3,United States and Canada,Business,6.5,21.0,10.0
2012,4,United States and Canada,Business,10.6,29.0,12.0
2013,1,United States and Canada,Business,4.9,16.0,9.0
2013,2,United States and Canada,Business,8.6,20.0,8.0
2013,3,United States and Canada,Business,7.8,20.0,9.0
2013,4,United States and Canada,Business,6.4,24.0,9.0
2014,1,United States and Canada,Business,6.3,18.0,9.0
2014,2,United States and Canada,Business,6.5,29.0,9.0
2014,3,United States and Canada,Business,7.0,24.0,11.0
2014,4,United States and Canada,Business,6.1,21.0,7.0
2015,1,United States and Canada,Business,6.2,26.0,8.0
2015,2,United States and Canada,Business,7.0,32.0,11.0
2015,3,United States and Canada,Business,7.1,24.0,8.0
2015,4,United States and Canada,Business,6.4,31.0,9.0
2016,1,United States and Canada,Business,5.5,29.0,10.0
2016,2,United States and Canada,Business,4.9,32.0,10.0
2016,3,United States and Canada,Business,7.1,33.0,11.0
2016,4,United States and Canada,Business,5.3,36.0,11.0
2017,1,United States and Canada,Business,5.9,31.0,11.0
2017,2,United States and Canada,Business,6.7,37.0,9.0
2017,3,United States and Canada,Business,7.8,42.0,11.0
2017,4,United States and Canada,Business,7.4,41.0,11.0
2018,1,United States and Canada,Business,4.7,32.0,10.0
2018,2,United States and Canada,Business,6.3,37.0,11.0
2018,3,United States and Canada,Business,7.7,47.0,13.0
2018,4,United States and Canada,Business,5.9,32.0,11.0
2019,1,United States and Canada,Business,5.2,24.0,8.0
2019,2,United States and Canada,Business,5.9,25.0,9.0
2019,3,United States and Canada,Business,6.4,32.0,9.0
2019,4,United States and Canada,Business,8.3,31.0,9.0
2012,1,United States and Canada,Holiday/leisure/recreation,6.8,53.0,19.0
2012,2,United States and Canada,Holiday/leisure/recreation,7.9,145.0,21.0
2012,3,United States and Canada,Holiday/leisure/recreation,7.9,229.0,25.0
2012,4,United States and Canada,Holiday/leisure/recreation,7.5,92.0,22.0
2013,1,United States and Canada,Holiday/leisure/recreation,6.4,61.0,19.0
2013,2,United States and Canada,Holiday/leisure/recreation,7.5,174.0,24.0
2013,3,United States and Canada,Holiday/leisure/recreation,8.0,255.0,25.0
2013,4,United States and Canada,Holiday/leisure/recreation,7.7,92.0,21.0
2014,1,United States and Canada,Holiday/leisure/recreation,6.7,53.0,18.0
2014,2,United States and Canada,Holiday/leisure/recreation,7.0,186.0,25.0
2014,3,United States and Canada,Holiday/leisure/recreation,8.1,315.0,26.0
2014,4,United States and Canada,Holiday/leisure/recreation,6.8,111.0,23.0
2015,1,United States and Canada,Holiday/leisure/recreation,6.8,69.0,18.0
2015,2,United States and Canada,Holiday/leisure/recreation,7.1,269.0,25.0
2015,3,United States and Canada,Holiday/leisure/recreation,8.2,384.0,25.0
2015,4,United States and Canada,Holiday/leisure/recreation,7.5,148.0,21.0
2016,1,United States and Canada,Holiday/leisure/recreation,6.5,77.0,16.0
2016,2,United States and Canada,Holiday/leisure/recreation,6.9,292.0,25.0
2016,3,United States and Canada,Holiday/leisure/recreation,7.9,388.0,25.0
2016,4,United States and Canada,Holiday/leisure/recreation,7.3,206.0,26.0
2017,1,United States and Canada,Holiday/leisure/recreation,6.6,84.0,19.0
2017,2,United States and Canada,Holiday/leisure/recreation,7.1,362.0,28.0
2017,3,United States and Canada,Holiday/leisure/recreation,7.9,460.0,29.0
2017,4,United States and Canada,Holiday/leisure/recreation,7.0,217.0,25.0
2018,1,United States and Canada,Holiday/leisure/recreation,6.6,114.0,21.0
2018,2,United States and Canada,Holiday/leisure/recreation,6.7,381.0,28.0
2018,3,United States and Canada,Holiday/leisure/recreation,7.8,554.0,31.0
2018,4,United States and Canada,Holiday/leisure/recreation,7.2,284.0,29.0
2019,1,United States and Canada,Holiday/leisure/recreation,6.3,130.0,22.0
2019,2,United States and Canada,Holiday/leisure/recreation,6.9,446.0,30.0
2019,3,United States and Canada,Holiday/leisure/recreation,7.1,529.0,29.0
2019,4,United States and Canada,Holiday/leisure/recreation,5.8,185.0,23.0
2012,1,United States and Canada,Other reason for journey,8.7,8.0,12.0
2012,2,United States and Canada,Other reason for journey,11.0,17.0,18.0
2012,3,United States and Canada,Other reason for journey,10.3,15.0,9.0
2012,4,United States and Canada,Other reason for journey,13.3,7.0,7.0
2013,1,United States and Canada,Other reason for journey,9.7,9.0,22.0
2013,2,United States and Canada,Other reason for journey,8.0,24.0,15.0
2013,3,United States and Canada,Other reason for journey,4.9,10.0,10.0
2013,4,United States and Canada,Other reason for journey,15.3,15.0,16.0
2014,1,United States and Canada,Other reason for journey,6.3,10.0,18.0
2014,2,United States and Canada,Other reason for journey,6.3,22.0,16.0
2014,3,United States and Canada,Other reason for journey,3.0,9.0,11.0
2014,4,United States and Canada,Other reason for journey,8.2,15.0,15.0
2015,1,United States and Canada,Other reason for journey,5.7,10.0,12.0
2015,2,United States and Canada,Other reason for journey,9.8,38.0,21.0
2015,3,United States and Canada,Other reason for journey,3.0,12.0,11.0
2015,4,United States and Canada,Other reason for journey,9.0,18.0,16.0
2016,1,United States and Canada,Other reason for journey,6.4,12.0,14.0
2016,2,United States and Canada,Other reason for journey,5.8,41.0,19.0
2016,3,United States and Canada,Other reason for journey,3.0,19.0,14.0
2016,4,United States and Canada,Other reason for journey,9.3,27.0,20.0
2017,1,United States and Canada,Other reason for journey,2.3,7.0,14.0
2017,2,United States and Canada,Other reason for journey,5.9,37.0,25.0
2017,3,United States and Canada,Other reason for journey,2.3,19.0,14.0
2017,4,United States and Canada,Other reason for journey,5.7,23.0,17.0
2018,1,United States and Canada,Other reason for journey,3.9,14.0,17.0
2018,2,United States and Canada,Other reason for journey,4.9,28.0,24.0
2018,3,United States and Canada,Other reason for journey,2.1,20.0,22.0
2018,4,United States and Canada,Other reason for journey,4.2,19.0,19.0
2019,1,United States and Canada,Other reason for journey,2.7,13.0,18.0
2019,2,United States and Canada,Other reason for journey,4.2,33.0,23.0
2019,3,United States and Canada,Other reason for journey,1.8,14.0,21.0
2019,4,United States and Canada,Other reason for journey,9.0,49.0,23.0
2012,1,United States and Canada,Visit to friends/relatives,10.6,19.0,9.0
2012,2,United States and Canada,Visit to friends/relatives,10.3,22.0,9.0
2012,3,United States and Canada,Visit to friends/relatives,11.2,22.0,8.0
2012,4,United States and Canada,Visit to friends/relatives,10.6,21.0,8.0
2013,1,United States and Canada,Visit to friends/relatives,9.6,16.0,8.0
2013,2,United States and Canada,Visit to friends/relatives,9.7,22.0,9.0
2013,3,United States and Canada,Visit to friends/relatives,12.0,44.0,11.0
2013,4,United States and Canada,Visit to friends/relatives,8.6,22.0,7.0
2014,1,United States and Canada,Visit to friends/relatives,9.9,27.0,9.0
2014,2,United States and Canada,Visit to friends/relatives,8.0,30.0,8.0
2014,3,United States and Canada,Visit to friends/relatives,11.2,42.0,10.0
2014,4,United States and Canada,Visit to friends/relatives,8.5,25.0,8.0
2015,1,United States and Canada,Visit to friends/relatives,9.2,21.0,7.0
2015,2,United States and Canada,Visit to friends/relatives,8.7,35.0,9.0
2015,3,United States and Canada,Visit to friends/relatives,10.8,50.0,11.0
2015,4,United States and Canada,Visit to friends/relatives,9.7,30.0,8.0
2016,1,United States and Canada,Visit to friends/relatives,9.4,27.0,8.0
2016,2,United States and Canada,Visit to friends/relatives,7.9,29.0,8.0
2016,3,United States and Canada,Visit to friends/relatives,10.8,54.0,11.0
2016,4,United States and Canada,Visit to friends/relatives,8.8,34.0,9.0
2017,1,United States and Canada,Visit to friends/relatives,9.3,30.0,9.0
2017,2,United States and Canada,Visit to friends/relatives,8.0,40.0,11.0
2017,3,United States and Canada,Visit to friends/relatives,10.1,59.0,13.0
2017,4,United States and Canada,Visit to friends/relatives,7.3,35.0,9.0
2018,1,United States and Canada,Visit to friends/relatives,8.6,35.0,10.0
2018,2,United States and Canada,Visit to friends/relatives,7.5,46.0,10.0
2018,3,United States and Canada,Visit to friends/relatives,9.6,60.0,13.0
2018,4,United States and Canada,Visit to friends/relatives,7.7,31.0,9.0
2019,1,United States and Canada,Visit to friends/relatives,9.4,33.0,11.0
2019,2,United States and Canada,Visit to friends/relatives,7.8,42.0,10.0
2019,3,United States and Canada,Visit to friends/relatives,10.2,68.0,13.0
2019,4,United States and Canada,Visit to friends/relatives,6.8,37.0,9.0
